18	"343.38"
19	"213.27"
20	"165.00"
21	"350.88"
22	"206.43"
23	"246.30"
24	"233.80"
25	"197.45"
26	"242.06"
27	"228.12"
28	"209.10"
29	"215.92"
30	"235.82"
31	"267.25"
32	"207.91"
33	"325.33"
34	"245.50"
35	"211.62"
36	"246.60"
37	"249.33"
38	"193.53"
39	"169.29"
40	"250.82"
41	"268.56"
42	"303.50"
43	"230.57"
44	"282.17"
45	"309.54"
46	"223.69"
47	"233.22"
48	"281.40"
49	"184.67"
50	"254.60"
51	"302.14"
52	"340.64"
53	"222.86"
54	"278.08"
55	"295.54"
56	"306.67"
57	"258.83"
58	"116.55"
59	"220.00"
60	"202.71"
61	"256.22"
62	"220.77"
63	"384.00"
64	"281.33"
65	"298.20"
66	"276.44"
67	"214.62"
68	"269.60"
69	"235.20"
